outer_postcode,region,lat,long
DG5,DG,54.92120122,-3.811057879
SN11,SN,51.43939311,-1.999396078
SY25,SY,52.23796901,-3.937168853
DD8,DD,56.65584638,-2.921907465
HS1,HS,58.21261356,-6.38145643
HR4,HR,52.09048827,-2.771405813
WF11,WF,53.7117685,-1.256157934
TN4,TN,51.14567248,0.254842536
EC1V,ECV,51.52679796,-0.097843718
OX13,OX,51.67608089,-1.357657841
TN32,TN,50.9790776,0.490246289
B67,B,52.48556625,-1.97883137
GU21,GU,51.32104188,-0.580509049
TF12,TF,52.61200981,-2.48178675
CM20,CM,51.77551914,0.102730003
FK17,FK,56.23992358,-4.220046902
CO5,CO,51.81514815,0.820399996
G65,G,55.97348616,-4.057643848
BN22,BN,50.78959485,0.283829656
HP23,HP,51.79555293,-0.661092423
HR6,HR,52.23352583,-2.773449308
TF1,TF,52.70321669,-2.502783295
LD1,LD,52.26089221,-3.366255511
SA4,SA,51.67323971,-4.048553725
SK3,SK,53.3982692,-2.172205163
TW2,TW,51.44637703,-0.354515776
L39,L,53.56171489,-2.896353752
IV26,IV,57.92675484,-5.1938622
DN2,DN,53.53366302,-1.102617558
AB37,AB,57.32738993,-3.352680816
BH3,BH,50.73657937,-1.883353508
B14,B,52.41734041,-1.889822075
M21,M,53.43802514,-2.272968892
HU9,HU,53.75607251,-0.289260404
BA6,BA,51.14202648,-2.707836419
LA23,LA,54.3714383,-2.912917483
DA2,DA,51.43215485,0.233309223
HU17,HU,53.8470704,-0.429091089
S45,S,53.16546325,-1.42202702
EN6,EN,51.69949136,-0.176697465
NR20,NR,52.72329114,0.980929476
HD9,HD,53.5804077,-1.79723739
L4,L,53.437829,-2.961290014
SM1,SM,51.36699125,-0.192845738
TA7,TA,51.13157473,-2.910851662
L29,L,53.50761268,-2.985516909
PR3,PR,53.86880358,-2.719059121
MK12,MK,52.0583252,-0.816647502
NP8,NP,51.8616355,-3.153763344
W1J,WJ,51.50790635,-0.145015246
DL12,DL,54.57222405,-1.985894945
SW1X,SWX,51.49820071,-0.156609736
RH17,RH,51.0223472,-0.11948701
FK14,FK,56.16716075,-3.655628856
NE27,NE,55.0328284,-1.51476725
CA27,CA,54.49100518,-3.593521255
S42,S,53.19968081,-1.421824221
IV6,IV,57.5251572,-4.458898133
BH14,BH,50.72136485,-1.944495785
SY19,SY,52.57951833,-3.635086436
SE17,SE,51.48822933,-0.093331843
CT19,CT,51.08908715,1.167982628
DA15,DA,51.4414707,0.098179444
NE69,NE,55.60478905,-1.718791108
DH8,DH,54.8569882,-1.850689654
PH12,PH,56.57584765,-3.154822261
ST1,ST,53.02732625,-2.173030798
KT19,KT,51.35251115,-0.270740259
NP44,NP,51.65116642,-3.027971009
SY99,SY,52.71282638,-2.749609875
NR11,NR,52.84112599,1.273856883
UB11,UB,51.51109587,-0.44703613
HP20,HP,51.82008133,-0.805298834
CF71,CF,51.46073821,-3.459031018
BT32,BT,54.33555167,-6.245566621
SP2,SP,51.07487396,-1.825800606
LA15,LA,54.15584919,-3.179668477
PA41,PA,55.674953,-5.7423724
SE26,SE,51.42795202,-0.05481565
BT40,BT,54.84573687,-5.823765421
BN18,BN,50.84783045,-0.583651794
BT49,BT,55.04736064,-6.95065683
IP11,IP,51.96752181,1.341064083
TN9,TN,51.19172969,0.274492295
IG6,IG,51.59598505,0.087609858
BT74,BT,54.34503786,-7.665245127
M45,M,53.54743956,-2.290426089
PE7,PE,52.53723027,-0.206001078
TW3,TW,51.46809513,-0.363966448
OL7,OL,53.49071054,-2.10726304
CT8,CT,51.37990582,1.336686094
M3,M,53.48365984,-2.252778705
S98,S,53.40411883,-1.431032675
G90,G,55.86898983,-4.241059833
L20,L,53.45303536,-2.989042743
SO31,SO,50.86973884,-1.299357192
CA95,CA,54.644668,-3.56645
NR33,NR,52.45410129,1.716812152
BL1,BL,53.5905236,-2.444852945
CF63,CF,51.41230951,-3.257156442
